,N,Missing(n),Missing(%),Mean,SD,Min,Q1,Median,Q3,Max,IQR
rdw_median,2135.0,181,7.82,13.78526932084309,1.385844255984971,11.1,12.9,13.5,14.3,23.6,1.4000000000000004
nlr_max,1136.0,1180,50.95,7.013503143292179,5.724106556079054,0.0652173913043478,3.5066051121095514,5.511462367842562,8.385313738154686,77.29411764705883,4.8787086260451344
bands_max,72.0,2244,96.89,3.3055555555555554,4.6470917420298425,0.0,0.0,1.5,4.0,24.0,4.0
troponin_t_max,1269.0,1047,45.21,3.3761623325453116,4.37832249780244,0.01,0.55,1.57,4.45,25.0,3.9000000000000004
ck_mb_max,1236.0,1080,46.63,99.55024271844661,118.57222411646347,1.0,14.0,46.5,147.25,673.0,133.25
ntprobnp_max,69.0,2247,97.02,8054.550724637681,10086.81546629389,103.0,1028.0,4434.0,9967.0,52183.0,8939.0
inr_median,1991.0,325,14.03,1.311225514816675,0.45352580760386124,0.8,1.1,1.2000000000000002,1.4,9.75,0.2999999999999998
pt_median,1991.0,325,14.03,14.359819186338521,4.4921934259707985,9.0,12.4,13.6,15.0,75.80000000000001,2.5999999999999996
ptt_median,2035.0,281,12.13,47.8692628992629,28.949346124728546,19.2,29.1,35.1,56.8,150.0,27.699999999999996
fibrinogen_median,829.0,1487,64.21,257.7246682750302,89.30552622617228,72.0,200.0,240.0,293.0,970.0,93.0
ck_cpk_max,917.0,1399,60.41,1334.9727371864776,1822.3353545526236,18.0,225.0,623.0,1627.0,13205.0,1402.0
ld_ldh_max,488.0,1828,78.93,523.2459016393443,462.29268952038404,100.0,246.0,379.0,635.0,4645.0,389.0
alt_max,812.0,1504,64.94,76.93103448275862,263.9400273254813,6.0,23.0,37.0,65.0,6815.0,42.0
ast_max,809.0,1507,65.07,164.20148331273177,332.5034023465842,10.0,37.0,77.0,193.0,7540.0,156.0
bilirubin_total_max,812.0,1504,64.94,0.6822660098522167,0.4495848620009468,0.1,0.4,0.6,0.8,3.4,0.4
alp_median,804.0,1512,65.28,80.02611940298507,44.070290163375425,21.0,57.0,71.0,88.0,552.5,31.0
amylase_median,101.0,2215,95.64,54.57425742574257,43.95573831359302,10.0,30.0,43.0,63.0,310.0,33.0
peep_max,1058.0,1258,54.32,6.6623818525519845,2.8491600776860015,0.0,5.0,5.0,8.0,51.0,3.0
fio2_max,1117.0,1199,51.77,90.26857654431512,19.505982609440068,25.0,100.0,100.0,100.0,100.0,0.0
plateau_pressure_max,910.0,1406,60.71,18.129010989010986,3.951604109520971,0.0,15.0,18.0,20.0,34.0,5.0
tidal_volume_observed_max,1051.0,1265,54.62,528.1396955280686,110.29350834651791,0.0,454.0,515.0,582.0,994.0,128.0
norepinephrine_equivalent_dose_max,2316.0,0,0.0,0.08230138169257341,1.5793981046781345,0.0,0.0,0.0,0.05,74.848,0.05
cnt_systemic_antibiotics,2316.0,0,0.0,0.7530224525043178,0.9361307349101424,0.0,0.0,0.0,2.0,6.0,2.0
cnt_invasive_lines,2316.0,0,0.0,1.0392918825561313,1.1974458849489373,0.0,0.0,0.0,2.0,6.0,2.0
